District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21
TX-23,-100.79599,29.59771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,5,5,10,11,11,13,13,15,17,19,19,20,23,26,31,34,39,44,49,50,51,53,57,61,61,61,61,64,66,67,67,74,74,76,80,83,92,95,95,99,99,102,103,119,123,140,148,149,178,189,199,222,224,225,248,257,259,266,271,267,282,298,302,318,350,357,378,408,417,427,431,445,454,599,610,610,637,660,673,681,707,726,735,798,824,852,929,975,990,1062,1085,1153,1235,1292,1340,1342,1422,1574,1806,1862,1918,2073,2087,2100,2394,2491,2833,3005,3159,3194,3306,3373,3563,3798,3949,4451,4600,4825,4953,5120,5303,5388,5627,5637,5969,6206,6436,6568,6729,6906,6906,6926,7277,6985,7459,7776,7891,7897,7973,8028,8106,8443,8517,8571,8576,8585,8638,8816,8869,8982,9529,9536,9537,9646,9750,9816,9866,9890,9890,9901,10025,10127,10159,10220,10235,10249,10249,10248,10398,10398,10479,10555,10560,10562,10589,10626,10643,10827,10852,10855,11310,11344,11483,11511,11595,11642,11662,11664,11725,11757,11788,11817,11848,11853,11890,11962,12108,12140,12184,12196,12197,12228,12293,12371,12401,12460,12489,12492,12520,12791,12875,12875,12936,13179,13179,13199,13391,13443,13516,13628,13739,15062,15069,15184,15313,15495,15633,15795,15807,15847,15965,16231,16421,16673,16932,16973,17139,17821,17982,18214,18407,18524,18611,18679,18920,19358,19458,20244,20436,20588,20645,21256,21687,21895,22109,22286,22370,22548,22818,23203,23284,23449,23677,23809,23690,24116,24780,25099,25397,25644,25713,25817,26328,26799,26994,27137,27180,27197,27075,27974,28297,28456,28784,28837,28942,29001,29913,30534,31028,31423,31700,31809,31904,32339,32950,32925,33425,34992,35079,35161,35436,35726,36525,36861,37235,37276,37325,37794,38003,38513,39104,39465,39533,39579,40074,40446,40648,40795,40933,40985,41070,41426,41653,41752,42632,42743,42783,42811,42821,42811,42795
TX-25,-97.75591,31.37959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,6,7,8,10,11,11,16,17,22,24,27,32,56,67,75,84,94,101,106,120,138,147,156,176,176,176,190,232,251,264,274,279,284,303,321,334,356,361,363,365,376,389,448,451,470,473,478,512,531,547,574,588,589,593,605,625,640,645,652,652,652,668,692,708,708,708,733,733,742,755,782,782,836,887,889,918,946,968,1001,1006,1010,1010,1087,1119,1155,1253,1366,1368,1368,1643,1829,1996,2220,2326,2392,2512,2742,2940,3137,3262,3514,3517,3683,3831,4021,4312,4403,4453,4474,4518,4714,5093,5260,5382,5502,5515,5540,5787,6033,6096,6257,6294,6334,6465,6623,6756,6931,7085,7192,7225,7427,7671,7823,7902,8016,8084,8084,8685,8835,9023,9138,9269,9357,9368,9421,9626,9738,9852,9894,9964,9968,10022,10275,10329,10412,10479,10521,10536,10586,10684,10766,10893,11013,11013,11019,11338,11703,11776,11820,11883,11979,11984,11984,12045,12367,12375,12532,12643,12645,12703,12880,12969,13055,13178,13210,13210,13255,13439,13545,13638,13728,13778,13780,13823,14019,14098,14149,14174,14246,14248,14263,15100,15184,15245,15314,15376,15374,15374,15510,15620,15708,15784,15886,15886,15886,15958,16056,16081,16178,16368,16418,16491,16650,16798,16653,16730,16879,17928,17933,18186,18321,18504,18659,18690,18695,18789,19196,19390,19539,19831,20046,20046,20181,20490,20698,21082,21375,21613,21620,21724,22347,22923,23269,23280,23312,23414,23405,23494,24439,25051,25307,25779,25787,25788,26444,26834,27332,27700,28072,28083,28340,29040,29626,30001,30599,30874,30878,31157,31960,32365,32866,32905,32905,33158,34144,35500,35890,36449,36611,36611,36621,37018,38165,38943,39280,39918,40573,40630,41276,42247,42904,43688,44212,44553,44589,44599,45307,46294,46751,47102,47384,47391,47993,48579,48856,49394,49630,49601,49620,56376,57232,57570,57964,58224,58512,58496,58776,58944,59120,59372,59477,59581,59580,59580,59757,60055,60072
TX-26,-97.11691,33.20522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,15,24,30,36,51,70,83,137,148,165,191,206,231,254,273,288,304,337,366,398,426,454,474,482,507,521,547,564,585,592,593,598,619,644,661,680,702,713,725,738,748,765,786,799,803,806,832,846,872,902,914,922,946,968,989,1016,1040,1051,1069,1088,1116,1161,1188,1205,1212,1224,1233,1255,1285,1318,1329,1357,1372,1398,1416,1435,1454,1467,1486,1500,1524,1559,1599,1632,1687,1719,1736,1772,1812,1894,1981,2055,2114,2164,2220,2303,2418,2495,2582,2631,2671,2741,2846,2952,3033,3185,3280,3339,3404,3460,3583,3698,3811,3938,4050,4163,4317,4468,4606,4766,4888,4969,5099,5317,5544,5724,5916,6044,6122,6209,6332,6494,6682,6804,6895,6939,7033,7128,7258,7375,7520,7587,7645,7746,7868,7960,8078,8215,8301,8301,8428,8585,8691,8842,8951,9096,9096,9236,9407,9545,9746,9876,9995,9995,10126,10240,10341,10423,10515,10589,10589,10640,10767,10848,10917,10978,11015,11015,11131,11227,11319,11384,11443,11503,11503,11609,11704,11772,11863,11952,11987,11987,12062,12152,12246,12323,12388,12430,12430,12515,13755,13890,14000,14145,14203,14203,14354,14480,14662,14805,15017,15140,15140,15293,15437,15606,15730,15937,16062,16062,16281,16445,16601,16727,16870,16987,16987,17225,17445,17646,17853,18067,18125,18125,18401,18610,18904,19100,19334,19585,19585,19920,20164,20416,20752,21157,21453,21453,21937,22351,22789,22789,23094,23276,23276,23644,24133,24623,25094,25645,26034,26034,26623,27181,27897,28577,29463,29886,29886,30725,31587,32285,33121,33822,34301,34301,35030,35554,36303,36303,36303,36813,36813,37262,38094,38547,39182,39182,39792,39792,40202,40763,41409,42095,42708,43107,43107,43580,44158,44808,45346,45816,46272,46272,46272,47336,48196,48945,49600,49816,49816,50439,51212,51857,52594,53248,53554,53554,54154,54742,55363,55820,56303,56629,56629,57239,57919,58644,59320,59849,60167,60167,60167,60167,60167,60167
TX-27,-97.26032,28.33915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,6,6,7,15,25,32,39,46,47,63,86,95,114,127,141,155,170,198,209,225,244,251,259,264,278,286,291,297,301,306,311,319,322,337,339,356,367,374,388,392,404,415,434,444,454,469,474,478,487,504,521,533,552,586,611,639,665,671,681,695,707,719,724,724,738,743,750,766,791,791,810,826,828,840,869,885,898,909,914,920,951,968,991,1010,1058,1116,1117,1166,1227,1298,1469,1584,1667,1714,1955,2144,2422,2734,3102,3348,3777,4097,4760,5245,5572,5931,6254,6770,7401,8057,8497,9334,9438,10101,10393,10470,12068,12525,13165,13620,13806,14090,14964,15611,16237,16707,17126,17155,17486,18059,18482,18961,19993,20049,20226,20357,20848,21462,21852,22345,22580,23771,24019,24473,25115,25426,25639,26053,26235,26324,26643,26873,27039,27365,27466,27725,27893,28141,28291,28402,28554,28617,28799,28859,29016,29072,29176,29275,29579,29583,29613,29724,29891,29912,30069,30098,30178,30190,30461,30528,30643,30730,30798,30843,31843,31909,31949,32141,32185,32191,32197,32213,32307,32348,32406,32602,32677,32688,32789,32824,32878,32891,32947,32966,32976,33067,33129,33154,33215,33288,33345,33360,33390,33431,33505,33534,33602,33736,33748,33777,33862,33919,34014,34099,34172,34541,34607,34662,34772,34909,35022,35075,35116,35277,35484,35619,35709,35898,36017,36122,36187,36376,36737,37031,37351,37601,37778,37928,38224,38596,38693,38919,38945,39517,39720,39848,40143,40521,40816,41017,41232,41390,41605,41928,42093,42338,42447,42648,42994,43123,43697,44032,44404,44730,44911,45122,45444,45772,46084,46414,46603,46780,46878,47220,47559,48203,48473,48524,48887,49140,49709,50174,50607,50919,51474,51673,52063,52242,53101,53549,54163,54533,54758,54989,55194,55708,56300,56772,57007,57221,57443,57774,58193,58516,59110,59420,59576,61705,62157,62594,62913,63147,63400,63468,63677,63930,64199,64488,64569,64803,64950,65016,65093,65196,65329
TX-28,-99.10121,27.75128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,12,15,24,31,36,41,52,54,75,78,96,112,139,141,156,179,193,199,221,226,236,253,272,287,295,313,326,330,346,374,374,392,397,402,406,412,425,430,436,453,459,466,472,483,491,501,512,516,528,528,529,540,559,567,567,578,592,602,602,606,616,621,621,628,632,632,655,663,666,675,678,697,714,740,752,752,766,805,825,856,898,899,911,989,1041,1154,1239,1311,1316,1474,1522,1586,1713,1794,1914,1979,2276,2352,2520,2628,2810,2919,2977,3016,3143,3295,3586,3846,4015,4279,4442,4583,5039,5223,5591,5852,6015,6136,6416,6628,6888,7163,7355,7605,7662,7792,8099,8439,8652,8920,8920,9289,9613,10166,10542,10704,11030,11106,11534,11831,12212,12592,12864,13067,13203,13319,13562,13697,13827,13895,13950,14016,14088,14302,14390,14423,14639,14903,14990,15025,15281,15581,15838,16387,16606,16682,16737,16752,17017,17110,17271,17339,17429,17471,17535,17622,17801,17914,18025,18081,18925,18966,19154,19264,19275,19276,19276,19499,19510,19722,19766,19773,19889,19889,20179,20189,20315,20345,20368,20377,20380,20403,20546,20556,20574,20750,20738,20738,20745,20927,21014,21054,21132,21175,21188,21304,21351,21402,21428,21436,21670,22020,22086,22123,22363,22502,22633,22733,22755,23158,23300,23665,23823,23912,24257,24506,24617,24867,25321,25647,25697,25995,26430,26546,26793,27305,27536,27686,27819,28028,28031,28171,29090,29138,29676,29771,30322,30550,30846,31047,31983,32193,32372,32577,32158,32968,33541,34005,34503,34793,34856,35361,35565,36507,36559,37253,37253,37366,37727,38105,38287,39083,39390,39412,39533,39533,40298,40809,41494,41651,42820,42898,43778,43969,44392,47491,47648,47975,49731,49908,50129,51335,52744,53467,54268,54370,54372,55202,55273,56075,56286,57869,58026,58026,58312,58618,59363,59525,59724,60304,60364,60484,60957,61009,61109,61755,61821,61821,61539,61711,61717
TX-29,-95.39340,29.85865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,6,6,7,9,9,11,11,13,16,23,30,55,68,74,78,134,185,203,229,445,526,563,680,847,955,1106,1284,1395,1809,2146,2341,3047,3261,3561,3629,3744,3907,4097,4306,4460,4653,4823,4977,5143,5211,5330,5482,5482,5628,5628,5827,6161,6356,6551,6708,6838,6967,7128,7244,7377,7594,7803,7878,8176,8416,8621,8817,9050,9126,9465,9635,9859,10095,10283,10526,10770,10921,10995,11281,11542,11770,12009,12220,12276,12664,13027,13268,13603,13940,14423,14586,14918,15238,15552,15864,16188,16568,16778,17282,17707,18157,18552,19739,20874,21053,23047,24421,25786,27016,28254,29162,29276,30729,31422,32859,34108,35316,35913,36597,37776,39311,40012,40918,41999,43939,45368,47369,49027,50362,51959,53535,54782,55743,57071,58457,59901,61411,62612,64108,65344,66190,67655,69123,70847,72961,74881,76639,78100,79536,80914,81919,83183,84600,85757,86563,87505,88494,89425,90574,91698,92253,92944,93872,94676,95631,96658,97745,98506,99290,100171,101077,101670,103088,104649,105757,106595,107490,108085,108819,109834,110762,111525,111525,112039,112762,113504,114761,115149,116172,117568,120336,120771,121628,122445,123264,123817,137946,138473,139017,139681,140532,140868,141353,141707,142315,142681,143530,146234,147298,147808,148235,148769,149394,149771,150176,150626,151161,151463,151880,152623,152977,153571,153955,154367,154765,155192,156035,156742,157392,158379,158758,159272,159617,160532,160984,160984,161613,162306,163287,163845,164445,165252,165967,166545,167331,167956,168746,170835,171916,172763,173436,174493,175414,175959,177466,178811,179911,181361,182192,183252,185304,187163,187759,187867,187932,190631,191513,192127,193089,194899,195558,196658,198961,199597,200397,201496,202861,204850,205928,207406,208737,210362,212686,214180,215779,217086,219265,221860,222931,224245,225102,225365,225443,231707,233330,234736,236673,237727,239657,243059,245551,247458,249488,250854,253612,256046,259773,262525,266525,267729,269089,274899,278312,281422,284917,286356,287753,290249,293271,294266,296521,297629,301173,304333,306495,308902,311665,314697,317654,319800,320744,323408,325010,326248,327079,328426,329167,329576,330256,331837,333279,335673,337012,338274,338284,339366,339444
TX-30,-96.77796,32.76671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,9,11,19,28,39,59,74,95,131,155,169,247,303,367,439,488,549,631,731,831,921,1105,1112,1155,1261,1324,1432,1537,1644,1723,1788,1877,1986,2066,2190,2324,2428,2512,2602,2683,2763,2834,2909,3014,3105,3240,3352,3531,3718,3899,4133,4370,4623,4869,5120,5369,5619,5870,6123,6359,6602,6837,7036,7250,7455,7679,7904,8090,8273,8477,8649,8827,8998,9188,9385,9587,9787,10006,10234,10462,10719,10958,11243,11541,11830,12093,12347,12645,12945,13257,13585,13930,14232,14537,14843,15256,15648,16042,16437,16845,17299,17744,18135,18538,19034,19595,20165,20737,21338,21882,22590,23675,24778,25840,27054,28131,29160,30361,31525,32626,33800,34914,35914,36969,36969,39191,40222,40222,42292,43026,43439,44087,44087,46013,46813,47239,48028,48732,49269,51299,51995,52576,53024,53809,54317,54731,55320,55903,56876,57497,57825,58147,58897,59818,60582,65943,67797,68591,68994,69343,70060,70062,71478,71662,71826,72627,72665,72934,73685,73705,74576,75268,75635,75636,76081,76499,76858,76884,77326,77734,77948,78291,78511,78645,79263,79474,79786,80244,80736,80917,81752,82079,82080,82600,83304,83306,84527,85099,85410,86213,86500,86500,86704,87269,87550,88667,88954,89420,89698,90175,90699,90714,90671,91149,92259,92848,92866,93975,94567,94949,94987,96048,96132,96562,97225,97973,99174,99352,100395,101051,101213,102642,103392,104909,105628,106494,107362,108631,109507,110355,111603,113004,114308,115116,115883,117426,118884,120715,121360,122307,124167,126141,128324,130186,130727,132443,133811,133811,133811,134793,137096,138798,139977,141617,143739,144645,146320,148172,148172,150940,152288,154376,156225,158336,160146,161845,163792,166230,167612,169860,171583,172726,174540,176906,179418,179418,179418,180806,186880,188123,189252,191544,193318,193318,196160,200011,201581,204374,206802,209392,211779,214973,217219,219086,222635,225629,227622,230439,233248,234625,234625,236214,239683,241661,243726,245646,246820,248518,250376,252047,253684,255493,256900,258517,259944,261382,262738,263887,265311,266335,267354,268262,269565,270796,271816,272661,273540,274425,274425,275400,275783,276049
TX-31,-97.55934,30.77837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,7,14,15,17,19,30,32,41,47,59,62,65,73,86,96,114,122,129,135,145,152,161,181,187,201,214,218,226,234,243,264,272,277,281,291,303,320,343,371,376,427,460,467,490,495,506,517,522,543,551,565,579,588,597,600,620,655,679,693,711,729,734,761,780,802,810,823,851,863,882,917,931,940,968,983,1008,1027,1060,1083,1104,1130,1137,1144,1218,1270,1317,1394,1467,1533,1589,1672,1740,1836,1928,2055,2159,2233,2373,2539,2711,2847,2978,3147,3228,3417,3654,3782,3949,3992,3992,4674,4944,5176,5469,5646,5828,5893,6125,6396,6723,6901,7057,7326,7432,7528,7769,7946,8076,8193,8236,8294,8444,8575,8782,8991,9182,9211,9211,9328,9528,9629,9791,10030,10076,10076,10724,10968,11111,11219,11525,11611,11611,11763,11950,12047,12098,12188,12221,12221,12281,12425,12499,12573,12640,12661,12661,12717,12827,12880,12948,12998,13011,13011,13011,13079,13148,13166,13224,13243,13243,13327,13366,13515,13586,13680,13691,13691,13764,13803,13886,13919,13991,14038,14038,14097,14176,14214,14262,14312,14329,14329,14425,14551,14603,14643,14692,14718,14718,14804,14844,15005,15052,15152,15201,15201,15201,15270,15421,15447,15518,15662,15662,15745,15870,15936,16025,16122,16148,16336,16336,16501,16604,16714,16857,16904,16898,16898,17209,17288,18787,19047,19221,19255,19255,19655,19958,20160,20417,20817,20817,20817,21433,21918,22017,22017,22017,22017,22017,23194,23766,23968,24348,24633,24633,24633,25661,26165,26506,26951,27340,27340,27340,28213,28733,29275,29709,30213,30213,30213,31463,32280,32426,32426,32426,32426,32426,34133,35065,35814,36122,36122,36122,37720,39063,39887,40645,41403,41623,41623,42756,43792,44447,45242,46149,46308,46308,46308,47915,48859,49719,50303,50448,50448,51317,52015,52658,53202,53811,54386,54386,55577,56205,56691,57023,57605,57714,57714,58144,58688,58947,59323,59635,59708,59708,59708,59708,59734,59734
TX-33,-97.29102,32.77144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,6,8,19,29,42,47,57,71,90,100,114,128,139,238,273,217,240,404,418,452,517,588,637,705,792,806,876,929,990,1093,1178,1230,1242,1250,1333,1430,1560,1706,1836,1947,2019,2088,2149,2246,2388,2503,2584,2624,2686,2813,2956,3127,3210,3695,3745,3810,4076,4211,4266,4350,4447,4559,4643,4711,4803,4899,4951,4977,5039,5039,5190,5294,5379,5463,5513,5534,5623,5761,5863,5985,6073,6150,6369,6433,6599,6824,7120,7253,7334,7498,7642,7822,8099,8331,8513,8955,9126,9386,9846,10363,10706,11083,11476,11739,12344,12950,13423,14008,14008,14008,14828,15585,16180,16700,17334,17757,18161,18483,19014,19871,20433,20907,21195,21617,22002,22665,23536,23967,24562,25146,25499,25739,26315,27151,27823,28410,28871,29054,29357,30162,31835,32299,32590,33369,33860,34165,34369,34774,35129,35629,37072,37760,38016,38476,38822,39053,39328,39556,39811,39920,40331,40530,40777,41035,41272,41486,41617,41860,42070,42297,42511,42798,43055,43055,43055,43515,43726,43937,44140,44454,44727,45163,45583,45868,46150,46537,46898,47231,47533,47917,48504,48897,49159,49329,49569,50057,50417,50729,51081,51499,52100,52366,52720,53292,53838,54152,54570,55364,55682,56159,56783,57438,58053,58773,59274,59662,60162,60795,61527,62375,63150,63792,64290,64727,65368,66110,66810,67484,68233,68803,69519,70228,71166,72118,73180,73636,75161,76086,76838,78029,79431,80492,82015,82915,83647,85759,87536,88948,90316,91853,92977,94687,95989,97294,97294,97294,97294,100650,102051,103781,105675,107178,108480,110015,111865,112725,114261,115476,116931,118207,119630,120899,122443,124420,126245,128261,130137,131097,132591,134091,135793,138010,138010,138010,138010,144001,145279,146888,150004,153365,153365,157732,159931,161878,165288,165288,167732,170730,170730,173840,178977,180794,183080,185513,187863,187863,190886,195518,197447,199521,201310,203174,203174,205329,208325,209849,211076,213611,215048,215048,216910,220685,222111,223736,225399,226793,226793,228038,230088,230981,232292,233326,234246,234246,235167,235964,235964,236461,236911
TX-34,-97.55311,26.71888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,7,7,7,10,14,19,20,27,28,37,37,50,70,82,99,108,122,136,146,177,190,226,226,241,275,292,312,325,345,345,360,374,389,400,417,430,431,441,452,467,476,488,500,501,512,524,542,556,570,592,594,611,628,654,671,710,711,711,727,743,762,762,796,797,797,798,813,835,847,861,871,873,893,920,941,978,1014,1046,1046,1089,1129,1173,1225,1279,1339,1342,1405,1468,1552,1632,1727,1833,1848,1993,2124,2273,2393,2557,2697,2740,2907,3065,3234,3427,3539,3652,3700,3866,4004,4405,4483,4818,5278,5304,5750,6296,6711,7203,7658,7991,8009,8474,9029,9485,9963,10818,10855,10873,11313,11983,12682,13536,14416,14416,17138,18619,19542,19932,20192,20925,20953,21385,21864,22102,22506,22935,23230,23262,23489,23781,24021,24309,24648,24802,25097,25132,25813,26347,26778,26848,27091,27203,27343,27478,27688,27961,28940,29094,29096,29114,29233,29447,29528,29625,29750,29752,29775,29997,30074,30128,30218,30369,30380,30413,30526,30617,30679,30729,30817,30819,30829,30917,30959,31017,31112,31191,31191,31196,31338,31375,31431,31456,31663,31672,31672,31875,31948,32012,32065,31985,32035,32035,32158,32235,32270,32302,32443,32488,32488,32615,32721,32779,32876,32990,33150,33171,33299,33514,33594,33700,33792,33814,33814,33998,34142,34259,34291,34400,34433,34434,34776,34884,34970,35105,35356,35453,35456,35749,35809,36042,36042,36066,36165,36195,36589,36791,36886,37037,37341,37373,37373,37715,37883,38008,38200,38456,38537,38537,39012,39319,39565,39810,40809,40888,40906,41378,41477,41737,41977,41977,42075,42075,42667,42889,43048,43323,43470,43590,43590,44408,44696,45032,45340,45798,45863,45863,46375,46620,47392,47757,48274,48419,48419,48480,48948,49239,49588,50130,50217,50288,50953,51244,52471,52527,52728,52812,52063,52687,52920,53036,53177,53552,53600,53600,54071,54220,54382,54507,54779,54925,54925,54619,54637,54649
